9.995271867612293137e-01,nan,nan,nan,nan
8.099290780141843449e-01,9.936336924583741848e-01,nan,nan,nan
1.196217494089834577e-01,8.192948090107737835e-01,9.989327641408751735e-01,nan,nan
7.843971631205673978e-01,7.933398628795298446e-01,5.795090715048025753e-01,9.974823766364552258e-01,nan
2.430260047281323776e-01,6.738491674828599454e-01,1.686232657417289227e-01,8.429003021148036012e-01,9.919314170448815249e-01
